region,index,year,value
Zambia,su35,2014,13.37825
Zambia,su35,2015,13.71566
Zambia,su35,2016,19.35742
Zambia,su35,2017,8.425463
Zambia,su35,2018,9.543356
Zambia,su35,2019,14.61496
Zambia,su35,2020,14.25714
Zambia,su35,2021,11.33477
Zambia,su35,2022,5.82777
Zambia,su35,2023,16.41042
Zambia,su35,2024,18.02254
Zambia,su35,2025,10.1025
Zambia,wsdi,1981,5.418708
Zambia,wsdi,1982,8.435346
Zambia,wsdi,1983,22.00723
Zambia,wsdi,1984,6.469742
Zambia,wsdi,1985,0.04890414
Zambia,wsdi,1986,2.45597
Zambia,wsdi,1987,22.78146
Zambia,wsdi,1988,0.9396331
Zambia,wsdi,1989,3.250256
Zambia,wsdi,1990,5.051984
Zambia,wsdi,1991,0.5346972
Zambia,wsdi,1992,21.13129
Zambia,wsdi,1993,3.947728
Zambia,wsdi,1994,19.18292
Zambia,wsdi,1995,19.58673
Zambia,wsdi,1996,5.746284
Zambia,wsdi,1997,8.335109
Zambia,wsdi,1998,16.67052
Zambia,wsdi,1999,7.955406
Zambia,wsdi,2000,2.194549
Zambia,wsdi,2001,4.396412
Zambia,wsdi,2002,9.946445
Zambia,wsdi,2003,6.034055
Zambia,wsdi,2004,0.3701137
Zambia,wsdi,2005,14.71885
Zambia,wsdi,2006,0.4914735
Zambia,wsdi,2007,3.162516
Zambia,wsdi,2008,4.65812
Zambia,wsdi,2009,0.4424875
Zambia,wsdi,2010,2.013465
Zambia,wsdi,2011,1.06309
Zambia,wsdi,2012,1.511786
Zambia,wsdi,2013,1.363407
Zambia,wsdi,2014,3.412871
Zambia,wsdi,2015,7.817482
Zambia,wsdi,2016,15.54663
Zambia,wsdi,2017,0.5857199
Zambia,wsdi,2018,10.25902
Zambia,wsdi,2019,23.96311
Zambia,wsdi,2020,2.729245
Zambia,wsdi,2021,17.18061
Zambia,wsdi,2022,0.01811088
Zambia,wsdi,2023,24.56965
Zambia,wsdi,2024,62.67105
Zambia,wsdi,2025,2.548602
Central,txm,1981,26.23441
Central,txm,1982,26.20167
Central,txm,1983,27.38259
Central,txm,1984,26.52888
Central,txm,1985,25.70188
Central,txm,1986,25.60031
Central,txm,1987,27.40491
Central,txm,1988,26.42697
Central,txm,1989,26.0746
Central,txm,1990,26.83181
Central,txm,1991,26.54005
Central,txm,1992,27.49244
Central,txm,1993,26.22798
Central,txm,1994,26.95424
Central,txm,1995,27.44224
Central,txm,1996,26.90063
Central,txm,1997,26.41947
Central,txm,1998,27.37672
Central,txm,1999,26.16527
Central,txm,2000,25.86417
Central,txm,2001,26.17899
Central,txm,2002,26.56253
Central,txm,2003,26.38637
Central,txm,2004,26.04698
Central,txm,2005,27.49325
Central,txm,2006,26.18726
Central,txm,2007,26.29749
Central,txm,2008,26.26182
Central,txm,2009,25.78491
Central,txm,2010,26.27472
Central,txm,2011,26.41382
Central,txm,2012,26.51111
Central,txm,2013,26.75414
Central,txm,2014,26.92573
Central,txm,2015,26.92102
Central,txm,2016,27.01065
Central,txm,2017,26.1162
Central,txm,2018,26.71645
Central,txm,2019,27.31357
Central,txm,2020,26.76811
Central,txm,2021,26.48184
Central,txm,2022,26.01844
Central,txm,2023,27.36497
Central,txm,2024,27.93069
Central,txm,2025,26.54346
Central,txx,1981,35.17358
Central,txx,1982,33.98587
Central,txx,1983,35.25452
Central,txx,1984,34.89971
Central,txx,1985,32.87635
Central,txx,1986,34.23317
Central,txx,1987,36.32386
Central,txx,1988,33.97758
Central,txx,1989,34.95634
Central,txx,1990,35.5978
Central,txx,1991,33.85952
Central,txx,1992,35.90649
Central,txx,1993,34.57983
Central,txx,1994,35.3478
Central,txx,1995,35.59391
Central,txx,1996,35.49899
Central,txx,1997,35.29934
Central,txx,1998,36.38794
Central,txx,1999,35.46166
Central,txx,2000,34.07905
Central,txx,2001,33.93458
Central,txx,2002,34.36706
Central,txx,2003,35.84705
Central,txx,2004,35.00448
Central,txx,2005,35.41494
